year,Crime Head ,Cases of Crimes Committed against - Foreign Tourists,Cases of Crimes Committed against - Other than Foreign Tourists ,Cases of Crimes Committed against - Total Foreigners 
2015,Murder,4,0,4
2015,Attempt To Commit Murder,0,0,0
2015,C.H. Not Amounting To Murder,0,0,0
2015,Attempt to Commit Culpable Homicide,2,0,2
2015,Rape,7,5,12
2015,Attempt To Commit Rape,0,0,0
2015,Assault on Women with Intent to Outrage her Modesty,15,8,23
2015,Insult to the Modesty of Women,1,5,6
2015,Kidnapping & Abduction,4,0,4
2015,Dacoity,0,0,0
2015,Robbery,9,1,10
2015,Grievous Hurt,4,0,4
2015,Extortion,0,0,0
2015,Cheating,4,5,9
2015,Theft,181,42,223
2015,Forgery,15,0,15
2015,Importation of Girls from Foreign Country,0,0,0
2015,Disclosure of Identity of Victims,0,0,0
2015,Human Trafficking,0,1,1
2015,Others,24,17,41
2016,Murder,6,6,12
2016,Culpable Homicide not Amounting to Murder,2,0,2
2016,Attempt to Commit Murder,0,1,1
2016,Attempt to Commit Culpable Homicide,0,0,0
2016,Grievous Hurt,2,0,2
2016,"Assault on Women with Intent to Outrage 
her Modesty",30,8,38
2016,Kidnapping & Abduction,3,0,3
2016,Human Trafficking,1,1,2
2016,Rape,14,5,19
2016,Theft,104,38,142
2016,Extortion,0,1,1
2016,Robbery,16,3,19
2016,Dacoity,2,0,2
2016,Cheating,7,1,8
2016,Forgery,3,0,3
2016,Insult to the Modesty of Women,1,1,2
2016,Others,83,27,110
2017,Murder,5,8,13
2017,Culpable Homicide not amounting to Murder,2,1,3
2017,Attempt to Commit Murder/Culpable Homicide,1,6,7
2017,Simple Hurt,2,12,14
2017,Grievous Hurt,4,2,6
2017,Assault on Women with Intent to Outrage her Modesty,28,3,31
2017,Kidnapping and Abduction,5,4,9
2017,Human Trafficking,2,0,2
2017,Rape,24,8,32
2017,Theft,199,35,234
2017,Extortion,0,1,1
2017,Robbery,18,3,21
2017,Dacoity,0,1,1
2017,Cheating,12,7,19
2017,Forgery,11,0,11
2017,Insult to the Modesty of Women,1,0,1
2017,Others,24,26,50
2018,Murder,8,3,11
2018,Culpable Homicide not amounting to Murder,1,0,1
2018,Attempt to Commit Murder/Culpable Homicide,2,0,2
2018,Simple Hurt,7,19,26
2018,Grievous Hurt,0,1,1
2018,Assault on Women with Intent to Outrage her Modesty,39,13,52
2018,Kidnapping and Abduction,1,3,4
2018,Human Trafficking,10,2,12
2018,Rape,20,7,27
2018,Theft,239,20,259
2018,Extortion,0,0,0
2018,Robbery,6,1,7
2018,Dacoity,1,0,1
2018,Cheating,19,8,27
2018,Forgery,12,0,12
2018,Insult to the Modesty of Women,3,0,3
2018,Others,20,7,27
2019,Murder,9,4,13
2019,Culpable Homicide not amounting to Murder,1,0,1
2019,Attempt to Commit Murder/Culpable Homicide,5,4,9
2019,Simple Hurt,5,9,14
2019,Grievous Hurt,1,1,2
2019,Assault on Women with Intent to Outrage her Modesty,17,9,26
2019,Kidnapping and Abduction,3,2,5
2019,Human Trafficking,6,5,11
2019,Rape,8,4,12
2019,Theft,115,27,142
2019,Extortion,1,0,1
2019,Robbery,10,5,15
2019,Dacoity,2,1,3
2019,Cheating,28,13,41
2019,Forgery,5,1,6
2019,Insult to the Modesty of Women,1,0,1
2019,Others,40,14,54
2020,Murder,3,4,7
2020,Culpable Homicide not amounting to Murder,0,1,1
2020,Attempt to Commit Murder/Culpable Homicide,6,0,6
2020,Simple Hurt,4,11,15
2020,Grievous Hurt,0,0,0
2020,Assault on Women with Intent to Outrage her Modesty,5,0,5
2020,Kidnapping and Abduction,2,5,7
2020,Human Trafficking,10,3,13
2020,Rape,14,2,16
2020,Theft,36,16,52
2020,Extortion,0,0,0
2020,Robbery,2,2,4
2020,Dacoity,0,0,0
2020,Cheating,7,7,14
2020,Forgery,1,0,1
2020,Insult to the Modesty of Women,0,0,0
2020,Others,9,9,18
2021,Murder,5,4,9
2021,Culpable Homicide not amounting to Murder,0,0,0
2021,Attempt to Commit Murder/Culpable Homicide,2,1,3
2021,Simple Hurt,5,3,8
2021,Grievous Hurt,0,1,1
2021,Assault on Women with Intent to Outrage her Modesty,7,8,15
2021,Kidnapping and Abduction,0,3,3
2021,Human Trafficking,2,6,8
2021,Rape,5,9,14
2021,Theft,19,4,23
2021,Extortion,0,0,0
2021,Robbery,5,2,7
2021,Dacoity,1,1,2
2021,Cheating,3,11,14
2021,Forgery,0,0,0
2021,Insult to the Modesty of Women,0,0,0
2021,Others,9,5,14
